회사명,거래소코드,회계년도,외국인_주식분포비율,외국인_주식수,보통주식비율,보통주식수
(주)CMG제약,058820,2011/12,0.07,30299,2.31,1009701
(주)CMG제약,058820,2012/12,0.29,192186,30.29,20000000
(주)CMG제약,058820,2013/12,0.25,217742,26.8,23211676
(주)CMG제약,058820,2014/12,0.34,290418,26.8,23211676
(주)CMG제약,058820,2015/12,0.65,570125,26.29,23211676
(주)CMG제약,058820,2016/12,2.07,2246765,26.02,28287997
(주)CMG제약,058820,2017/12,3.51,3823217,25.98,28287997
(주)CMG제약,058820,2018/12,4.69,5109545,25.98,28287997
(주)CMG제약,058820,2019/12,2.12,2945936,25.84,35886553
(주)CMG제약,058820,2020/12,7.2,10005795,25.84,35886553
(주)CMG제약,058820,2021/12,6.62,9190785,25.84,35886553
(주)DB하이텍,000990,2011/12,6.65,2853948,38.69,16542567
(주)DB하이텍,000990,2012/12,7.45,3314551,37.29,16542567
(주)DB하이텍,000990,2013/12,7.07,3147777,37.29,16542567
(주)DB하이텍,000990,2014/12,3.72,1655061,37.4,16593214
(주)DB하이텍,000990,2015/12,10.05,4468163,19.09,8469725
(주)DB하이텍,000990,2016/12,13.46,5986556,19.06,8457400
(주)DB하이텍,000990,2017/12,20.15,8960879,19.63,8707400
(주)DB하이텍,000990,2018/12,28.31,12602854,19.77,8776169
(주)DB하이텍,000990,2019/12,39.6,17625308,19.46,8638793
(주)DB하이텍,000990,2020/12,27.61,12289535,17.35,7705345
(주)DB하이텍,000990,2021/12,24.1,10729103,17.38,7717419
(주)ES큐브,050120,2011/12,2.12,493771,35.11,8161470
(주)ES큐브,050120,2012/12,2.04,477041,19.99,4676470
(주)ES큐브,050120,2013/12,0.74,270974,16.44,6000000
(주)ES큐브,050120,2014/12,1.13,412632,16.44,6000000
(주)ES큐브,050120,2015/12,2.77,1009893,16.44,6000000
(주)ES큐브,050120,2016/12,2.49,1036592,17.8,7407948
(주)ES큐브,050120,2017/12,1.12,930564,19.16,15949584
(주)ES큐브,050120,2018/12,3.33,2770750,19.16,15949584
(주)ES큐브,050120,2019/12,2.92,2419348,19.57,16261110
(주)ES큐브,050120,2020/12,0.96,1295765,32.19,43667441
(주)ES큐브,050120,2021/12,2.71,367243,32.19,4366744
(주)HJ중공업,097230,2011/12,9.87,4766336,37.38,18050153
(주)HJ중공업,097230,2012/12,8.39,4049186,37.38,18050153
(주)HJ중공업,097230,2013/12,9.27,6426398,35.12,24337418
(주)HJ중공업,097230,2014/12,2.96,3032682,32.82,33571682
(주)HJ중공업,097230,2015/12,2.78,2845734,32.87,33618644
(주)HJ중공업,097230,2016/12,7.64,8099828,31.69,33604007
(주)HJ중공업,097230,2017/12,4.64,4925987,31.68,33591900
(주)HJ중공업,097230,2019/12,20.71,17249773,16.14,13440545
(주)HJ중공업,097230,2020/12,20.92,17418094,16.14,13440545
(주)HJ중공업,097230,2021/12,20.08,16723452,66.85,55672910
(주)MH에탄올,023150,2011/12,0.22,15180,54.6,3821960
(주)MH에탄올,023150,2012/12,0.13,8910,54.6,3821960
(주)MH에탄올,023150,2013/12,0.02,1510,54.6,3821960
(주)MH에탄올,023150,2014/12,3.34,246445,51.79,3821960
(주)MH에탄올,023150,2015/12,4.21,310752,51.79,3821960
(주)MH에탄올,023150,2016/12,1.64,120855,51.79,3821960
(주)MH에탄올,023150,2017/12,1.26,93303,52.55,3878013
(주)MH에탄올,023150,2018/12,0.42,31098,55.46,4092643
(주)MH에탄올,023150,2019/12,0.71,52324,52.17,3849446
(주)MH에탄올,023150,2020/12,1.49,109732,44.43,3278178
(주)MH에탄올,023150,2021/12,3.47,256173,43.63,3219602
(주)SH에너지화학,002360,2011/12,31.47,34975445,34.6,38454418
(주)SH에너지화학,002360,2012/12,31.88,35427758,32.85,36502586
(주)SH에너지화학,002360,2013/12,31.62,35143465,31.12,34594076
(주)SH에너지화학,002360,2014/12,36.92,41035230,31.12,34594076
(주)SH에너지화학,002360,2015/12,35.07,38978485,31.12,34594076
(주)SH에너지화학,002360,2016/12,35.19,39104847,31.12,34594076
(주)SH에너지화학,002360,2017/12,33.94,37716106,31.12,34594076
(주)SH에너지화학,002360,2018/12,34.72,38582406,31.12,34594076
(주)SH에너지화학,002360,2019/12,34.65,38510963,31.12,34594076
(주)SH에너지화학,002360,2020/12,33.63,37370644,31.12,34594076
(주)SH에너지화학,002360,2021/12,32.81,36464584,31.06,34522638
(주)SIMPAC,009160,2011/12,0.49,142177,48.7,14142862
(주)SIMPAC,009160,2012/12,3.17,920960,41.56,12088092
(주)SIMPAC,009160,2013/12,15.33,4459051,41.2,11947592
(주)SIMPAC,009160,2014/12,17.56,5107371,41.2,11947592
(주)SIMPAC,009160,2015/12,17.99,5232994,40.89,11889742
(주)SIMPAC,009160,2016/12,18.71,5442618,40.88,11889742
(주)SIMPAC,009160,2017/12,14.43,4195746,40.88,11889742
(주)SIMPAC,009160,2018/12,8.16,5336842,60.01,39267351
(주)SIMPAC,009160,2019/12,8.61,5630334,60.01,39267351
(주)SIMPAC,009160,2020/12,7.83,5126344,59.99,39250351
(주)SIMPAC,009160,2021/12,8.06,5276564,59.99,39250351
(주)SNT에너지,100840,2011/12,0,0,43.89,3109818
(주)SNT에너지,100840,2012/12,0,0,51.21,3628128
(주)SNT에너지,100840,2013/12,0.23,16049,51.21,3628128
(주)SNT에너지,100840,2014/12,0.01,528,60.37,4276676
(주)SNT에너지,100840,2015/12,7.11,503431,53.31,3776676
(주)SNT에너지,100840,2016/12,1.45,102962,53.31,3776676
(주)SNT에너지,100840,2017/12,1.36,96153,54.08,3831590
(주)SNT에너지,100840,2018/12,1.64,119378,55.86,4076475
(주)SNT에너지,100840,2019/12,2.54,190309,55.93,4198768
(주)SNT에너지,100840,2020/12,2.34,175695,55.93,4198768
(주)SNT에너지,100840,2021/12,5.16,387011,59.93,4498768
(주)SNT홀딩스,036530,2011/12,6.91,1031333,69.87,10426995
(주)SNT홀딩스,036530,2012/12,7.17,1069441,71.13,10614365
(주)SNT홀딩스,036530,2013/12,7.77,1160075,68.36,10201209
(주)SNT홀딩스,036530,2014/12,7.91,1181178,68.36,10201209
(주)SNT홀딩스,036530,2015/12,10,1537034,61.75,9490688
(주)SNT홀딩스,036530,2016/12,11.35,1797416,61.75,9775407
(주)SNT홀딩스,036530,2017/12,9.01,1426128,61.75,9775407
(주)SNT홀딩스,036530,2018/12,10.96,1787175,62.52,10193112
(주)SNT홀딩스,036530,2019/12,10.68,1740850,62.67,10217885
(주)SNT홀딩스,036530,2020/12,10.26,1672451,63.17,10298805
(주)SNT홀딩스,036530,2021/12,11.21,1828017,63.31,10322401
(주)STX,011810,2011/12,8.22,4924667,39.5,23676122
(주)STX,011810,2012/12,7.35,4432519,39.12,23628692
(주)STX,011810,2014/12,0.04,118222,39.64,11830408
(주)STX,011810,2015/12,0,0,39.59,11830407
(주)STX,011810,2016/12,0,0,24.99,11830407
(주)STX,011810,2017/12,0,0,46.48,8893705
(주)STX,011810,2018/12,0.18,36264,83.68,16508051
(주)STX,011810,2019/12,0.12,23325,78.87,15558051
(주)STX,011810,2020/12,0.23,46322,78.87,15558051
(주)STX,011810,2021/12,1.7,487962,55.41,15858051
(주)TCC스틸,002710,2011/12,1.31,209130,40.78,6524829
(주)TCC스틸,002710,2012/12,1.33,225601,41.03,6975658
(주)TCC스틸,002710,2013/12,1.33,239869,41.07,7392510
(주)TCC스틸,002710,2014/12,0.95,181063,41.24,7836355
(주)TCC스틸,002710,2015/12,0.5,111826,47.53,10618749
(주)TCC스틸,002710,2016/12,0.85,190659,47.55,10623749
(주)TCC스틸,002710,2017/12,1.13,252484,47.55,10623749
(주)TCC스틸,002710,2018/12,1.79,400137,47.65,10646732
(주)TCC스틸,002710,2019/12,1.62,361163,47.65,10646732
(주)TCC스틸,002710,2020/12,0.35,79764,39.56,9097891
(주)TCC스틸,002710,2021/12,7.57,1778991,36.55,8588415
(주)가비아,079940,2011/12,5.38,685062,34.99,4456952
(주)가비아,079940,2012/12,1.18,157164,25.25,3368439
(주)가비아,079940,2013/12,7.57,1009941,25.26,3368439
(주)가비아,079940,2014/12,13.82,1870005,25.18,3407739
(주)가비아,079940,2015/12,13.82,1870927,25.18,3407739
(주)가비아,079940,2016/12,12.71,1720131,24.51,3317461
(주)가비아,079940,2017/12,12.85,1738670,24.65,3336256
(주)가비아,079940,2018/12,17.49,2367303,24.79,3355749
(주)가비아,079940,2019/12,16.57,2243478,24.89,3369121
(주)가비아,079940,2020/12,12.07,1633756,24.85,3364121
(주)가비아,079940,2021/12,12.99,1757870,26.13,3536585
(주)강스템바이오텍,217730,2015/12,0.01,956,22.95,3173600
(주)강스템바이오텍,217730,2016/12,0.53,75866,23.22,3300800
(주)강스템바이오텍,217730,2017/12,0.68,111127,21.51,3497055
(주)강스템바이오텍,217730,2018/12,1.19,248126,17.07,3553988
(주)강스템바이오텍,217730,2019/12,2.78,578762,13.02,2714654
(주)강스템바이오텍,217730,2020/12,1.7,421151,10.25,2547536
(주)강스템바이오텍,217730,2021/12,1.38,523319,7.69,2912687
(주)강원랜드,035250,2011/12,32.24,68980259,36.02,77058336
(주)강원랜드,035250,2012/12,32.65,69843612,36.28,77606122
(주)강원랜드,035250,2013/12,28.54,61059647,36.28,77606122
(주)강원랜드,035250,2014/12,26.43,56534581,36.27,77587786
(주)강원랜드,035250,2015/12,28.85,61721843,36.27,77587786
(주)강원랜드,035250,2016/12,28.94,61909857,36.27,77587786
(주)강원랜드,035250,2017/12,28.68,61351987,36.27,77587786
(주)강원랜드,035250,2018/12,27.48,58786802,36.27,77587786
(주)강원랜드,035250,2019/12,29.71,63552527,36.27,77587786
(주)강원랜드,035250,2020/12,22.2,47499215,36.27,77587786
(주)강원랜드,035250,2021/12,18.74,40084572,36.27,77587786
(주)강원에너지,114190,2011/11,0,0,45.42,2407438
(주)강원에너지,114190,2011/12,0.07,3908,44.11,2338075
(주)강원에너지,114190,2012/12,0.29,30340,38.58,4887126
(주)강원에너지,114190,2013/12,0.16,20629,46.65,5909467
(주)강원에너지,114190,2014/12,0.41,58956,53.04,7633603
(주)강원에너지,114190,2015/12,0.32,48659,52.87,8064637
(주)강원에너지,114190,2016/12,1.05,160066,52.87,8064637
(주)강원에너지,114190,2017/12,0.66,100412,52.4,7992637
(주)강원에너지,114190,2018/12,2.08,319315,42.25,6492637
(주)강원에너지,114190,2019/12,1.9,331160,11.47,2000000
(주)강원에너지,114190,2020/12,0.47,85075,21.43,3891000
(주)강원에너지,114190,2021/12,0.32,82587,45.78,11959127
(주)갤럭시아에스엠,011420,2011/12,0.03,5090,33.92,6659771
(주)갤럭시아에스엠,011420,2012/12,0.49,96140,33.94,6659171
(주)갤럭시아에스엠,011420,2013/12,0.01,2850,30.94,6070286
(주)갤럭시아에스엠,011420,2014/12,0.89,173999,30.36,5957117
(주)갤럭시아에스엠,011420,2015/12,0.9,247044,37.09,10219282
(주)갤럭시아에스엠,011420,2016/12,0.21,56669,36.95,10180782
(주)갤럭시아에스엠,011420,2017/12,0.72,199066,36.95,10180757
(주)갤럭시아에스엠,011420,2018/12,0.31,86023,36.95,10180757
(주)갤럭시아에스엠,011420,2019/12,3.13,863373,36.95,10180757
(주)갤럭시아에스엠,011420,2020/12,1.7,467661,36.66,10100757
(주)갤럭시아에스엠,011420,2021/12,0.64,175336,36.66,10100757
(주)경농,002100,2011/12,1.76,381916,57.8,12538230
(주)경농,002100,2012/12,1.42,308020,60.15,13046230
(주)경농,002100,2013/12,1.13,245150,60.15,13046230
(주)경농,002100,2014/12,0.77,166076,60.14,13046230
(주)경농,002100,2015/12,0.76,165567,60.14,13046230
(주)경농,002100,2016/12,0.59,128070,60.14,13046230
(주)경농,002100,2017/12,0.71,153373,60.13,13042230
(주)경농,002100,2018/12,0.41,88979,60.13,13042230
(주)경농,002100,2019/12,1.29,279373,60.13,13042230
(주)경농,002100,2020/12,0.36,78806,60.13,13042230
(주)경농,002100,2021/12,1.03,201556,66.81,13042230
(주)경동나비엔,009450,2011/12,2.98,379450,58.94,7509165
(주)경동나비엔,009450,2012/12,5.28,672670,58.04,7393505
(주)경동나비엔,009450,2013/12,4.09,520446,58.04,7393505
(주)경동나비엔,009450,2014/12,2.35,299431,58.04,7393505
(주)경동나비엔,009450,2015/12,4.59,584624,57.42,7314867
(주)경동나비엔,009450,2016/12,7.87,1002434,57.42,7314867
(주)경동나비엔,009450,2017/12,3.97,505871,57.42,7314867
(주)경동나비엔,009450,2018/12,7.67,976565,57.42,7314867
(주)경동나비엔,009450,2019/12,8.91,1134455,51.52,6563467
(주)경동나비엔,009450,2020/12,10.13,1378154,54.6,7428687
(주)경동나비엔,009450,2021/12,13.3,1937587,57.61,8392549
(주)경동도시가스,267290,2017/12,25.8,1217114,51.99,2452238
(주)경동도시가스,267290,2018/12,21.23,1001528,51.99,2452238
(주)경동도시가스,267290,2019/12,18.18,1071991,51.99,3065297
(주)경동도시가스,267290,2020/12,15.46,911585,51.99,3065297
(주)경동도시가스,267290,2021/12,17.34,1022034,51.99,3065297
(주)경동인베스트,012320,2011/12,17.41,606540,45.33,1579816
(주)경동인베스트,012320,2012/12,23.2,808308,45.33,1579816
(주)경동인베스트,012320,2013/12,22.33,778263,43.47,1514871
(주)경동인베스트,012320,2014/12,21.93,764345,43.47,1514871
(주)경동인베스트,012320,2015/12,21.11,735472,43.47,1514685
(주)경동인베스트,012320,2016/12,19.64,684382,43.47,1514685
(주)경동인베스트,012320,2017/12,13.6,321618,54.29,1283940
(주)경동인베스트,012320,2018/12,12.83,303492,54.29,1283940
(주)경동인베스트,012320,2019/12,11.54,272922,54.29,1283940
(주)경동인베스트,012320,2020/12,11.03,260959,54.29,1283940
(주)경동인베스트,012320,2021/12,13.16,311261,54.29,1283940
(주)경방,000050,2011/12,1.08,22370,53.67,1116239
(주)경방,000050,2012/12,1.92,39890,56.54,1176175
(주)경방,000050,2013/12,0.99,24748,56.63,1411437
(주)경방,000050,2014/12,1.36,37329,55.82,1530365
(주)경방,000050,2015/12,2.85,78155,56.11,1538389
(주)경방,000050,2016/12,3.32,910245,56.73,15554250
(주)경방,000050,2017/12,2.16,591954,57.66,15809094
(주)경방,000050,2018/12,2.18,597898,58.62,16070934
(주)경방,000050,2019/12,1.87,512264,58.61,16068962
(주)경방,000050,2020/12,2.96,810214,59.37,16276661
(주)경방,000050,2021/12,2.03,557608,59.75,16381370
(주)경보제약,214390,2015/12,1.06,253143,60.08,14364110
(주)경보제약,214390,2016/12,1.81,433456,60.08,14364110
(주)경보제약,214390,2017/12,2.69,643614,60,14344110
(주)경보제약,214390,2018/12,3.12,746210,60.5,14463080
(주)경보제약,214390,2019/12,1.41,337328,60.5,14463080
(주)경보제약,214390,2020/12,1.11,266510,60.5,14463080
(주)경보제약,214390,2021/12,1.03,246722,60.5,14463080
(주)경인양행,012610,2011/12,21.78,8167110,43.04,16133081
(주)경인양행,012610,2012/12,21.87,8202380,43.02,16133081
(주)경인양행,012610,2013/12,18.5,7472810,38.37,15499924
(주)경인양행,012610,2014/12,12.96,5235889,37.19,15023803
(주)경인양행,012610,2015/12,10.81,4367282,37.16,15012814
(주)경인양행,012610,2016/12,9.82,3968531,36.93,14916362
(주)경인양행,012610,2017/12,7.71,3112607,35.3,14261196
(주)경인양행,012610,2018/12,9.97,4026426,35.48,14332346
(주)경인양행,012610,2019/12,9.63,3928209,34.67,14142053
(주)경인양행,012610,2020/12,3.59,1483058,33.55,13849492
(주)경인양행,012610,2021/12,3.35,1394119,33.57,13957346
(주)고려시멘트,198440,2014/12,0.06,4500,8.1,566927
(주)고려시멘트,198440,2015/12,0.08,5726,6.8,476000
(주)고려시멘트,198440,2016/12,0.04,2500,6.8,476000
(주)고려시멘트,198440,2017/12,0.06,19056,79.82,24331873
(주)고려시멘트,198440,2018/12,0.77,246672,72.05,23039132
(주)고려시멘트,198440,2019/12,0.57,183069,58.97,18857995
(주)고려시멘트,198440,2020/12,0.37,118307,58.3,18645758
(주)고려시멘트,198440,2021/12,0.36,115080,42.71,13659249
(주)고바이오랩,348150,2020/12,0.44,67698,38.56,5982100
(주)고바이오랩,348150,2021/12,2.2,358069,33.53,6042200
(주)고영테크놀러지,098460,2011/12,23.39,1993559,17.45,1517000
(주)고영테크놀러지,098460,2012/12,17.01,1522821,18.9,1692317
(주)고영테크놀러지,098460,2013/12,17.83,1597100,18.46,1656217
(주)고영테크놀러지,098460,2014/12,38.7,5199998,18.09,2434133
(주)고영테크놀러지,098460,2015/12,37.83,5159626,18.73,2556320
(주)고영테크놀러지,098460,2016/12,40.54,5541069,18.16,2483838
(주)고영테크놀러지,098460,2017/12,52.18,7141818,17.47,2390956
(주)고영테크놀러지,098460,2018/12,54.47,7456229,21.04,2880091
(주)고영테크놀러지,098460,2019/12,61.33,8412779,20.98,2877664
(주)고영테크놀러지,098460,2020/12,65.74,9027009,20.53,2819511
(주)고영테크놀러지,098460,2021/12,65.17,44743323,20.5,14079055
(주)골드앤에스,035290,2011/12,0.54,280102,14.93,7715557
(주)골드앤에스,035290,2012/12,1.42,1018749,12.67,9073678
(주)골드앤에스,035290,2013/12,0.18,125553,12.61,9035678
(주)골드앤에스,035290,2014/12,0.28,32120,19.93,2422781
(주)골드앤에스,035290,2015/12,0.95,187146,43.97,8664475
(주)골드앤에스,035290,2016/12,0.08,15012,48.99,9814727
(주)골드앤에스,035290,2017/12,0.16,34995,22.87,5071137
(주)골드앤에스,035290,2018/12,0.81,185322,12.61,2871174
(주)골드앤에스,035290,2020/12,0.69,17814,71.86,26030000
(주)골드앤에스,035290,2021/12,0.03,12024,71.59,25930000
(주)골드퍼시픽,038530,2011/12,11.21,2505404,17.37,3882829
(주)골드퍼시픽,038530,2012/12,11.92,2762114,16.75,3882829
(주)골드퍼시픽,038530,2013/12,9.81,2522049,9.99,2569868
(주)골드퍼시픽,038530,2014/12,8.05,2691753,21.29,7477754
(주)골드퍼시픽,038530,2015/12,0.32,170911,7.43,3946348
(주)골드퍼시픽,038530,2016/12,0.15,81234,7.93,4643962
(주)골드퍼시픽,038530,2017/12,0,0,16.24,1081092
(주)골드퍼시픽,038530,2018/12,6.04,1034627,19.15,3282213
(주)골드퍼시픽,038530,2019/12,5.39,1824544,31.02,10504433
(주)골드퍼시픽,038530,2020/12,1.83,1208238,15.87,10504433
(주)골드퍼시픽,038530,2021/12,1.95,1623349,15.31,12749637
(주)골프존,215000,2015/12,5.41,339576,55.39,3476669
(주)골프존,215000,2016/12,7.65,480172,53.75,3374747
(주)골프존,215000,2017/12,6.39,401015,53.81,3376756
(주)골프존,215000,2018/12,5.32,333845,53.71,3370495
(주)골프존,215000,2019/12,8.18,513449,53.61,3363965
(주)골프존,215000,2020/12,8.3,520563,53.37,3349135
(주)골프존,215000,2021/12,21.75,1364823,39.05,2450257
(주)골프존뉴딘홀딩스,121440,2011/12,2.12,259849,63.27,7771061
(주)골프존뉴딘홀딩스,121440,2012/12,1.88,230341,62.67,7697388
(주)골프존뉴딘홀딩스,121440,2013/12,3.06,1128849,57.7,21261103
(주)골프존뉴딘홀딩스,121440,2014/12,4.88,1799791,55.24,20356732
(주)골프존뉴딘홀딩스,121440,2015/12,2.55,1093256,67.95,29105789
(주)골프존뉴딘홀딩스,121440,2016/12,4.09,1750202,57.41,24590929
(주)골프존뉴딘홀딩스,121440,2017/12,3.66,1566479,53.89,23084946
(주)골프존뉴딘홀딩스,121440,2018/12,3.44,1474459,54.89,23513769
(주)골프존뉴딘홀딩스,121440,2019/12,2.77,1185937,55.01,23563776
(주)골프존뉴딘홀딩스,121440,2020/12,1.95,835141,54.98,23552875
(주)골프존뉴딘홀딩스,121440,2021/12,2.06,882958,54.92,23523944
(주)광림,014200,2011/12,5.56,845280,26,3953300
(주)광림,014200,2012/12,2.59,495316,18.18,3475935
(주)광림,014200,2013/12,0.11,20267,18.18,3475935
(주)광림,014200,2014/12,0.96,182874,24.98,4775935
(주)광림,014200,2015/12,1.34,256448,24.98,4775935
(주)광림,014200,2016/12,0.49,235980,32.55,15785206
(주)광림,014200,2017/12,0.73,355123,32.81,15913534
(주)광림,014200,2018/12,1.58,786221,32.82,15921534
(주)광림,014200,2019/12,0.93,494038,30.07,15913534
(주)광림,014200,2020/12,0.94,499140,41.32,21870282
(주)광림,014200,2021/12,3.44,2562208,29.12,21911282
(주)광명전기,017040,2011/12,0.82,356125,22.49,9748660
(주)광명전기,017040,2012/12,0.14,60301,22.49,9748660
(주)광명전기,017040,2013/12,1.24,536431,22.49,9748660
(주)광명전기,017040,2014/12,2.75,1192114,22.49,9748660
(주)광명전기,017040,2015/12,4.25,1842210,23.18,10048660
(주)광명전기,017040,2016/12,3.93,1701861,25.15,10898660
(주)광명전기,017040,2017/12,2.53,1096563,27.59,11957315
(주)광명전기,017040,2018/12,4.4,1905721,29.98,12993144
(주)광명전기,017040,2019/12,4.74,2056085,29.98,12993144
(주)광명전기,017040,2020/12,3.39,1470220,32.19,13950533
(주)광명전기,017040,2021/12,2.95,1280197,31.06,13458652
(주)광무,029480,2011/12,0.32,396360,18.16,22777997
(주)광무,029480,2012/12,1.92,2484349,13.01,1682756
(주)광무,029480,2013/12,0.93,175184,8.93,1682756
(주)광무,029480,2014/12,0.52,98559,8.93,1682756
(주)광무,029480,2015/12,1.36,305677,7.46,1682756
(주)광무,029480,2016/12,1.7,383237,7.46,1682756
(주)광무,029480,2017/12,0.4,99288,15.48,4940413
(주)광무,029480,2018/12,0.78,256475,13.8,4527824
(주)광무,029480,2019/12,0.55,281976,17.09,10400000
(주)광무,029480,2020/12,3.09,2459434,13.05,10400000
(주)광무,029480,2021/12,0.91,1037179,12.29,14000000
(주)광주신세계,037710,2011/12,15.16,242572,62.5,1000000
(주)광주신세계,037710,2012/12,15.82,253171,62.5,1000000
(주)광주신세계,037710,2013/12,18.69,299108,62.5,1000000
(주)광주신세계,037710,2014/12,14.62,233876,62.5,1000000
(주)광주신세계,037710,2015/12,13.31,212963,62.5,1000000
(주)광주신세계,037710,2016/12,13.03,208467,62.5,1000000
(주)광주신세계,037710,2017/12,13.14,210285,62.5,1000000
(주)광주신세계,037710,2018/12,12.41,198615,62.5,1000000
(주)광주신세계,037710,2019/12,12.12,193989,62.5,1000000
(주)광주신세계,037710,2020/12,12.25,195969,62.5,1000000
(주)광주신세계,037710,2021/12,12.4,198433,62.5,1000000
(주)구스앤홈,329050,2019/12,,,78.18,1172679
(주)구스앤홈,329050,2020/12,,,,
(주)구영테크,053270,2011/12,20.23,2601975,73.11,9402902
(주)구영테크,053270,2012/12,20.23,2601975,73.11,9402902
(주)구영테크,053270,2013/12,17.36,2233073,70.22,9032102
(주)구영테크,053270,2014/12,0.4,79479,51.93,10280738
(주)구영테크,053270,2015/12,0.4,79382,50.41,9977747
(주)구영테크,053270,2016/12,2.37,469201,51.92,10278771
(주)구영테크,053270,2017/12,1.08,212938,51.92,10277871
(주)구영테크,053270,2018/12,1.66,437803,50.41,13301474
(주)구영테크,053270,2019/12,2.17,573843,46.62,12304957
(주)구영테크,053270,2020/12,2.56,675923,46.65,12304957
(주)구영테크,053270,2021/12,1.11,291777,44.58,11766074
(주)국동,005320,2011/12,0.11,4354,25.53,1023775
(주)국동,005320,2012/12,0.02,676,25.53,1023775
(주)국동,005320,2013/12,0.62,28506,22.42,1023775
(주)국동,005320,2014/12,1.09,51076,21.8,1023911
(주)국동,005320,2015/12,2.59,121399,21.76,1022060
(주)국동,005320,2016/12,1.4,83080,19.62,1160546
(주)국동,005320,2017/12,2.02,263911,18.9,2465323
(주)국동,005320,2018/12,2.26,310763,18.4,2523140
(주)국동,005320,2019/12,5.24,1445249,12.5,3459615
(주)국동,005320,2020/12,1.68,650342,9.1,3547615
(주)국동,005320,2021/12,1.04,570626,21.92,12046775
(주)국보,001140,2011/12,0,0,36.46,374571
(주)국보,001140,2012/12,0.05,560,36.46,374571
(주)국보,001140,2013/12,0.01,80,36.46,374571
(주)국보,001140,2014/12,0.37,3763,36.46,374571
(주)국보,001140,2015/12,0.4,4150,36.46,374571
(주)국보,001140,2016/12,0.81,8307,34.94,358906
(주)국보,001140,2017/12,0.19,3177,21.08,354571
(주)국보,001140,2018/12,3.32,55894,21.08,354571
(주)국보,001140,2019/12,1.85,443056,22.53,5400277
(주)국보,001140,2020/12,0.15,72048,10.35,5109489
(주)국보,001140,2021/12,0.23,149770,7.81,5109489
(주)국보디자인,066620,2011/12,1.19,89378,52.77,3958122
(주)국보디자인,066620,2012/12,2.3,172753,48.99,3674432
(주)국보디자인,066620,2013/12,8.73,654645,49.17,3687513
(주)국보디자인,066620,2014/12,9.09,681558,49.91,3743113
(주)국보디자인,066620,2015/12,9.78,733590,51.55,3865904
(주)국보디자인,066620,2016/12,11.64,873322,51.92,3893851
(주)국보디자인,066620,2017/12,8.06,604252,52.02,3901383
(주)국보디자인,066620,2018/12,12.46,934590,52.41,3930557
(주)국보디자인,066620,2019/12,12.56,942200,52.72,3955070
(주)국보디자인,066620,2020/12,11.4,855333,53.14,3985171
(주)국보디자인,066620,2021/12,11.42,856163,53.14,3985171
(주)국순당,043650,2011/12,3.57,638119,48.13,8595502
(주)국순당,043650,2012/12,1.04,185929,48.07,8584306
(주)국순당,043650,2013/12,0.63,112002,43.71,7805649
(주)국순당,043650,2014/12,1.85,329901,43.74,7810947
(주)국순당,043650,2015/12,2.44,436326,43.69,7802673
(주)국순당,043650,2016/12,3.14,560385,42.01,7502673
(주)국순당,043650,2017/12,3.85,688350,42.01,7502673
(주)국순당,043650,2018/12,2.71,483098,42.01,7502689
(주)국순당,043650,2019/12,2.91,519607,42.01,7502673
(주)국순당,043650,2020/12,0.16,27884,42.83,7649387
(주)국순당,043650,2021/12,1.84,328590,42.83,7649387
(주)국영지앤엠,006050,2011/12,0.94,192056,16.39,3345416
(주)국영지앤엠,006050,2012/12,0.52,152053,16.76,4927921
(주)국영지앤엠,006050,2013/12,0.53,157028,14.7,4321042
(주)국영지앤엠,006050,2014/12,0.95,284730,14.42,4321042
(주)국영지앤엠,006050,2015/12,0.25,80665,13.88,4569828
(주)국영지앤엠,006050,2016/12,0.54,183275,13.56,4642988
(주)국영지앤엠,006050,2017/12,3.23,1126277,15.19,5300882
(주)국영지앤엠,006050,2018/12,3.24,1132268,15.19,5300882
(주)국영지앤엠,006050,2019/12,2.97,1036858,14.37,5012882
(주)국영지앤엠,006050,2020/12,2.84,991122,13.64,4762739
(주)국영지앤엠,006050,2021/12,4.55,1587917,14.23,4965289
(주)국전약품,307750,2018/12,0.1,4855,9.98,500000
(주)국전약품,307750,2019/12,0,67,9.98,500000
(주)국전약품,307750,2020/12,0.01,3843,80.77,31127790
(주)국전약품,307750,2021/12,0.87,428653,61.99,30418739
(주)그래디언트,035080,2011/12,3.82,2323724,39.03,23749715
(주)그래디언트,035080,2012/12,1.27,771289,39.04,23752153
(주)그래디언트,035080,2013/12,16.57,10081931,36.4,22148250
(주)그래디언트,035080,2014/12,25.13,15080462,35.09,21051875
(주)그래디언트,035080,2015/12,32.35,19247792,35.36,21042000
(주)그래디언트,035080,2016/12,26.19,15454909,35.71,21069625
(주)그래디언트,035080,2017/12,25.36,14833007,36,21061125
(주)그래디언트,035080,2018/12,20.6,12053104,36.1,21118625
(주)그래디언트,035080,2019/12,15.73,9202510,36.11,21122125
(주)그래디언트,035080,2020/12,8.5,6904329,28.58,23205873
(주)그래디언트,035080,2021/12,5.64,4578893,28.22,22909873
(주)그리티,204020,2018/12,0.24,24364,41.09,4140193
(주)그리티,204020,2019/12,2.68,540012,35.17,7086598
(주)그리티,204020,2020/12,0.87,174719,37.72,7599382
(주)그리티,204020,2021/12,5.75,1159221,34.24,6897707
(주)그린플러스,186230,2019/12,0.68,32200,32.39,1578577
